Old profile URL,New profile URL,Pick,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/human-resources-officer,225,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/bookbinder-or-print-finisher,226,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/photographer,227,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/paint-sprayer,228,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/paralegal,228,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/operational-researcher,230,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/quarry-worker,231,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/food-factory-worker,233,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/primary-care-graduate-mental-health-worker,233,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/school-matron,233,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/footballer,234,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/physiotherapist,234,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/vending-machine-operator,235,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/careers-adviser,237,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/town-planner,237,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/registrar-of-births-deaths-marriages-and-civil-partnerships,238,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/restaurant-manager,239,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/dispensing-optician,241,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/car-manufacturing-worker,242,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/nursery-worker,242,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/nurse,245,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/window-cleaner,245,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/massage-therapist,247,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/forensic-psychologist,248,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/telecoms-engineer,248,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/bus-or-coach-driver,251,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/dance-movement-psychotherapist,251,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/maternity-support-worker,251,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/children&#39;s-nurse,252,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/petrol-station-sales-assistant,256,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/tree-surgeon,257,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/prison-officer,259,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/chemical-plant-process-operator,261,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/publican,262,,,,,
